ds,ts,max_temp,min_temp
2018-05-02,7773.293125000000,24.4,14.0
2018-05-03,7701.760625000000,27.8,13.7
2018-05-04,7556.114375,28.6,19.0
2018-05-05,7066.819791666670,22.4,11.6
2018-05-06,7010.672083333330,22.0,9.8
2018-05-07,7633.382291666670,25.9,12.4
2018-05-08,7809.73,26.6,13.1
2018-05-09,7675.172708333330,26.3,13.1
2018-05-10,7758.980625000000,26.9,13.4
2018-05-11,8103.639583333330,18.1,9.8
2018-05-12,7742.697291666670,17.1,10.7
2018-05-13,7490.801250000000,17.6,13.3
2018-05-14,8021.793125000000,17.9,13.6
2018-05-15,8172.905416666670,18.9,11.1
2018-05-16,8311.957083333330,17.6,11.6
2018-05-17,8354.499791666670,21.9,9.7
2018-05-18,8289.457708333330,19.6,8.8
2018-05-19,7757.176666666670,19.8,10.8
2018-05-20,7512.299583333330,22.3,9.1
2018-05-21,8008.929791666670,22.7,10.6
2018-05-22,8076.644375000000,25.0,10.3
2018-05-23,8103.949166666660,20.4,13.2
2018-05-24,8238.980625000000,19.0,11.0
2018-05-25,8160.068125000000,17.9,16.1
2018-05-26,7637.152500000000,21.5,9.8
2018-05-27,7501.490208333330,22.5,10.0
2018-05-28,8205.24,22.0,12.0
2018-05-29,8227.785208333340,25.4,11.1
2018-05-30,8456.064375,17.0,13.7
2018-05-31,8699.591041666670,16.5,8.2
2018-06-01,8867.650000000010,15.9,12.3
2018-06-02,8365.387500000000,16.0,11.2
2018-06-03,7767.153958333330,17.0,13.6
2018-06-04,8496.377708333340,17.0,10.8
2018-06-05,8821.116458333340,14.8,10.6
2018-06-06,8775.98791666667,16.7,11.3
2018-06-07,8516.525416666670,21.0,9.3
2018-06-08,8718.008541666670,19.0,10.9
2018-06-09,8180.707708333330,16.4,12.4
2018-06-10,7826.353333333330,16.2,10.3
2018-06-11,7791.624375000000,17.2,10.2
2018-06-12,8880.483541666670,18.9,8.1
2018-06-13,8738.977291666670,20.9,9.6
2018-06-14,8765.071666666670,20.4,9.2
2018-06-15,8684.00125,21.2,10.7
2018-06-16,8287.149375,19.2,9.2
2018-06-17,8389.8575,16.1,7.2
2018-06-18,9345.757083333330,16.1,9.3
2018-06-19,9664.743541666670,15.5,9.7
2018-06-20,9051.120208333340,17.0,10.4
2018-06-21,9227.558958333330,16.4,11.3
2018-06-22,9129.924791666670,19.9,8.1
2018-06-23,8622.620208333330,20.3,7.0
2018-06-24,8574.635833333330,16.1,6.4
2018-06-25,9321.617916666660,16.5,6.5
2018-06-26,9426.252291666670,16.7,6.6
2018-06-27,9338.47,16.9,9.5
2018-06-28,9250.490416666670,20.7,12.3
2018-06-29,9243.001458333330,16.7,6.2
2018-06-30,8446.427083333330,20.4,6.9
2018-07-01,8521.646458333340,16.7,7.6
2018-07-02,9124.66520833333,19.0,10.9
2018-07-03,9056.827916666670,18.7,8.9
2018-07-04,8785.534166666670,20.5,8.9
2018-07-05,8407.307708333330,25.9,9.7
2018-07-06,8119.052500000000,26.4,13.8
2018-07-07,8143.961250000000,19.0,8.6
2018-07-08,8045.987708333340,17.7,9.1
2018-07-09,8873.068750000000,16.2,10.0
2018-07-10,9200.728333333330,16.7,7.2
2018-07-11,9244.172500000000,18.3,6.2
2018-07-12,9210.159375000000,20.3,7.4
2018-07-13,9139.74625,18.3,5.7
2018-07-14,8691.178333333330,16.3,7.7
2018-07-15,8678.648750000000,18.8,4.5
2018-07-16,9530.897291666670,19.0,4.2
2018-07-17,8968.021666666670,23.5,8.5
2018-07-18,8547.354583333330,21.5,11.0
2018-07-19,8857.242708333330,21.7,6.2
2018-07-20,8857.6825,21.3,11.0
2018-07-21,8442.094166666670,17.5,9.0
2018-07-22,8530.115833333340,17.6,4.8
2018-07-23,9129.240416666660,20.5,4.8
2018-07-24,8487.225,25.0,8.9
2018-07-25,8417.315208333330,23.4,9.0
2018-07-26,8636.222708333330,18.8,8.8
2018-07-27,8609.387083333330,21.9,7.3
2018-07-28,8144.420416666670,22.2,7.9
2018-07-29,7424.727083333330,26.3,12.8
2018-07-30,8374.470625,20.2,10.5
2018-07-31,8666.512291666670,21.9,6.8
2018-08-01,8434.197083333330,21.4,9.2
2018-08-02,8654.128750000000,19.0,9.1
2018-08-03,8360.27145833333,23.4,9.4
2018-08-04,7745.9454166666700,20.7,11.3
2018-08-05,7651.267500000000,20.9,6.9
2018-08-06,8598.994791666670,19.7,11.9
2018-08-07,8631.423333333340,18.2,10.9
2018-08-08,8682.766875000000,20.5,8.0
2018-08-09,8613.982291666670,18.3,8.2
2018-08-10,8426.666875,23.1,7.6
2018-08-11,7536.9402083333300,26.6,12.0
2018-08-12,7739.166875,17.2,9.4
2018-08-13,8466.103541666670,21.0,8.1
2018-08-14,8374.774791666670,22.9,9.6
2018-08-15,8079.695625000000,26.3,9.6
2018-08-16,7990.442500000000,20.8,10.8
2018-08-17,8394.615625,17.3,7.2
2018-08-18,7859.005416666670,23.6,5.8
2018-08-19,7939.8360416666700,16.6,8.7
2018-08-20,8768.7725,14.1,7.5
2018-08-21,8763.01104166667,18.1,7.6
2018-08-22,8689.187291666670,16.2,9.4
2018-08-23,8713.97375,17.6,6.9
2018-08-24,8446.080416666670,17.7,10.3
2018-08-25,7969.691875000000,20.0,10.7
2018-08-26,7972.467083333330,18.8,10.5
2018-08-27,8849.151875,13.8,12.3
2018-08-28,8888.064166666670,13.9,8.2
2018-08-29,8891.684791666670,14.9,4.6
2018-08-30,8897.753333333330,16.8,5.6
2018-08-31,8858.530625000000,18.0,9.0
2018-09-01,7614.836875000000,22.4,9.5
2018-09-02,7794.937916666670,14.8,11.0
2018-09-03,8752.905416666670,15.3,7.8
2018-09-04,8540.788333333330,18.3,10.4
2018-09-05,8467.068958333330,17.8,9.4
2018-09-06,8347.062291666670,20.9,9.8
2018-09-07,7949.026458333330,24.2,13.9
2018-09-08,7868.84625,15.5,12.2
2018-09-09,7125.550416666670,24.1,8.7
2018-09-10,7769.351875,19.4,12.6
2018-09-11,7752.393958333330,23.0,13.4
2018-09-12,7495.848125,26.9,12.8
2018-09-13,7533.143750000000,20.2,13.8
2018-09-14,7510.848750000000,25.1,14.5
2018-09-15,7046.353541666670,33.3,12.4
2018-09-16,6970.049791666670,16.0,9.6
2018-09-17,7836.948333333330,18.8,7.4
2018-09-18,7595.508750000000,24.1,9.6
2018-09-19,7471.128958333330,29.9,12.7
2018-09-20,7802.307291666670,16.4,10.8
2018-09-21,7761.540416666670,20.6,8.0
2018-09-22,7193.806250000000,23.8,9.7
2018-09-23,6943.579791666670,19.4,14.2
2018-09-24,7975.696875000000,16.7,12.2
2018-09-25,8027.420416666670,18.1,9.8
2018-09-26,8268.463958333340,17.1,12.2
2018-09-27,7844.471250000000,21.1,8.4
2018-09-28,7505.887083333330,31.3,11.3
2018-09-29,6894.623125000000,20.6,14.0
2018-09-30,6832.544166666670,18.6,9.0
2018-10-01,6729.430625,22.1,10.0
2018-10-02,7441.330000000000,23.4,12.5
2018-10-03,7624.794166666670,27.2,13.9
2018-10-04,7830.642500000000,16.9,15.7
2018-10-05,7990.312291666670,16.0,13.4
2018-10-06,7264.568333333330,17.8,13.3
2018-10-07,7068.534375,17.1,11.5
2018-10-08,7496.732916666670,19.5,14.3
2018-10-09,7547.999375000000,25.6,13.1
2018-10-10,7797.495,17.4,15.9
